"TOA5","Compass_MSM_W_401","CR1000X","28727","CR1000X.8.4.0","CPU:COMPASS_v4-052425.CR1X","24960","Redox5"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-11-14 00:05:00",134,"NAN",11.94,-274.8211,-539.0475,-658.7261,-661.6108,-66.5837,-658.1995,-698.4077,-686.7035,252.2209,-702.0071,-660.4838,-682.551,341.8399,83.58282,-32.50074,-35.30429,545.8593,-32.36254,-71.46172,-59.9449,856.4136,-75.20065,-34.25699,-55.76793
"2025-11-14 00:10:00",135,"NAN",11.92,-278.4794,-541.7752,-658.5954,-661.5924,-68.27902,-658.0179,-698.6154,-686.7509,249.1739,-702.0688,-660.4268,-682.5694,340.4176,80.89314,-32.17984,-35.15489,549.5588,-31.95914,-71.51068,-59.93493,855.4473,-75.16866,-34.08022,-55.64342
"2025-11-14 00:15:00",136,"NAN",11.94,-279.1734,-544.2484,-658.3246,-661.4866,-61.38377,-657.6907,-698.7638,-686.8414,248.9184,-702.0878,-660.3156,-682.5651,339.9494,79.39483,-31.92927,-34.92894,556.9073,-31.7395,-71.77592,-59.96801,855.2177,-75.25346,-34.03257,-55.58116
"2025-11-14 00:20:00",137,"NAN",11.92,-279.9271,-544.4984,-658.0685,-661.3726,-51.79275,-657.3431,-698.8865,-686.8766,249.1046,-702.0971,-660.2021,-682.5342,339.1676,79.29136,-31.56836,-34.77838,561.5571,-31.25232,-71.71595,-59.96225,855.642,-75.08979,-33.72647,-55.60365
"2025-11-14 00:25:00",138,"NAN",11.94,-280.2881,-545.1799,-657.8099,-661.2781,-55.58313,-657.0488,-699.0972,-686.9075,249.4645,-702.1275,-660.1115,-682.5417,339.1351,78.81479,-31.3565,-34.62514,558.9489,-30.84346,-71.88686,-59.97834,856.0847,-75.01729,-33.66399,-55.50014
"2025-11-14 00:30:00",139,"NAN",11.93,-280.0961,-544.9557,-657.5359,-661.1661,-41.97086,-656.7985,-699.1965,-686.9568,249.8138,-702.1302,-660.0016,-682.5498,339.5001,79.83454,-30.97648,-34.51035,570.4681,-30.66352,-72.00552,-59.80899,856.6449,-74.96986,-33.4981,-55.50094
"2025-11-14 00:35:00",140,"NAN",11.93,-280.0852,-543.4233,-657.2702,-661.0486,-46.51619,-656.474,-699.3669,-687.0061,250.2398,-702.1597,-659.9006,-682.5695,339.2659,80.90275,-30.81062,-34.40423,565.0103,-30.41886,-72.1208,-59.96672,856.9194,-75.19399,-33.43697,-55.43976
"2025-11-14 00:40:00",141,"NAN",11.94,-281.1042,-542.6256,-657.044,-660.9661,-56.45919,-656.1483,-699.5788,-687.0479,250.6612,-702.1842,-659.8107,-682.5659,338.894,81.73528,-30.44486,-34.28278,564.5862,-29.85515,-72.14764,-59.88924,857.4396,-75.01997,-33.16005,-55.36915
"2025-11-14 00:45:00",142,"NAN",11.94,-280.3453,-542.1646,-656.8062,-660.8574,-46.2719,-655.8229,-699.6876,-687.0513,251.1071,-702.1915,-659.7172,-682.6009,339.3102,82.06356,-30.23132,-34.08009,562.879,-29.46221,-72.23657,-59.86277,858.0292,-74.89566,-33.02067,-55.30375
