"TOA5","Compass_MSM_Buoy","CR1000X","29515","CR1000X.Std.06.02","CPU:COMPASS_v3.4.CR1X","43155","ExoTable"
"TIMESTAMP","RECORD","PB","Statname","Date","Time","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_uScm","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn","TSS_MgL","ORP_mv","TDS_mg_L","Vertical_Position_m","Turbidity_FNU","Turbidity_Raw"
"TS","RN","","","mmddyy","hhmmss","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","uS/cm","mv","pH","mv","Celsius","meters","volts","volts","ma","","","mg/L","mv","mg/L","m","FNU","na"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
2024-04-01 18:30:00,14748,407,Compass_MSM_407_BuoyBob,40124,182422,12.312,43.22,11.6,16.36,100.63,99.45,10.06,0,9.45,16.09,1.15,7.68,-61.84,12.706,1.417,5.29,11.87,47.4,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,105.08,10459.37,1.417,2.29,0.07
2024-04-01 18:45:00,14749,407,Compass_MSM_407_BuoyBob,40124,183922,12.361,42.14,11.31,16.43,100.67,99.49,10.07,0,9.5,16.161,1.14,7.69,-62.43,12.689,1.417,5.29,11.9,50.11,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,105.32,10502.4,1.417,2.26,0.07
2024-04-01 19:00:00,14750,407,Compass_MSM_407_BuoyBob,40124,185422,12.358,42.31,11.35,16.43,100.85,99.67,10.08,0,9.49,16.155,1.16,7.69,-62.37,12.694,1.419,5.29,11.89,47.5,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,104.81,10490.64,1.42,2.34,0.07
2024-04-01 19:15:00,14751,407,Compass_MSM_407_BuoyBob,40124,190922,12.372,42.26,11.34,16.45,101.04,99.86,10.1,0,9.51,16.177,1.14,7.7,-62.63,12.686,1.423,5.29,11.91,47.96,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,102.9,10511.49,1.423,2.35,0.07
2024-04-01 19:30:00,14752,407,Compass_MSM_407_BuoyBob,40124,192422,12.372,42.32,11.36,16.45,100.71,99.53,10.07,0,9.51,16.178,1.15,7.69,-62.2,12.68,1.42,5.29,11.94,46.84,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,101.98,10516,1.42,2.27,0.07
2024-04-01 19:45:00,14753,407,Compass_MSM_407_BuoyBob,40124,193922,12.372,42.56,11.42,16.46,100.92,99.74,10.09,0,9.51,16.182,1.14,7.69,-62.16,12.673,1.424,5.29,11.9,47.66,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,101.92,10517.7,1.424,2.35,0.07
2024-04-01 20:00:00,14754,407,Compass_MSM_407_BuoyBob,40124,195422,12.325,42.9,11.51,16.4,100.59,99.41,10.07,0,9.47,16.124,1.15,7.68,-61.66,12.664,1.423,5.29,11.93,55.97,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,101.77,10485.15,1.423,2.28,0.07
2024-04-01 20:15:00,14755,407,Compass_MSM_407_BuoyBob,40124,200922,12.342,42.72,11.47,16.43,100.31,99.13,10.04,0,9.49,16.152,1.14,7.68,-61.59,12.651,1.419,5.29,11.85,47.85,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,100.72,10499.89,1.418,2.26,0.07
