"TOA5","COMPASS_GCW_TR_432","CR1000X","75736","CR1000X.8.4.0","CPU:COMPASS_v4-052425.CR1X","52317","Redox15"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-11-21 13:45:00",2,"NAN",13.5,614.1476,-89.41396,129.6617,-20.95389,483.2437,409.9568,-284.1665,-96.64037,701.6049,483.5392,-144.195,10.43632,710.1736,12.35951,231.2611,82.37212,579.2469,507.2906,-183.7369,4.058055,797.7963,579.6214,-43.95544,110.5778
"2025-11-21 14:00:00",3,"NAN",13.69,618.0824,-80.34084,137.5817,-15.72297,486.9163,415.4631,-280.7547,-96.72744,708.8471,488.0424,-137.2355,16.07029,683.0625,-9.849988,207.0565,55.81692,552.2217,482.6764,-211.5592,-27.9215,775.7016,554.5963,-66.32226,86.90621
"2025-11-21 14:15:00",4,"NAN",13.68,617.6265,-79.78799,139.3798,-15.55203,486.5701,416.4308,-281.3414,-98.81707,710.4933,488.3051,-133.8534,17.35268,674.0065,-18.73003,199.8042,46.72796,542.5741,474.1331,-222.1127,-38.56801,767.173,543.7748,-76.02618,75.85442
"2025-11-21 14:30:00",5,"NAN",13.82,618.9109,-76.1299,143.1118,-13.05538,488.5477,419.4407,-279.6296,-92.18065,713.8517,489.9941,-131.1492,18.61815,643.3748,-48.34285,170.1806,15.75174,512.7964,444.7873,-254.0028,-65.24612,739.5353,514.4465,-104.7224,45.99777
"2025-11-21 14:45:00",6,"NAN",13.82,618.5409,-76.52575,143.6932,-13.1483,487.761,419.2697,-280.2944,-91.3857,714.1189,489.5671,-132.977,18.64316,636.9538,-55.22661,165.0559,9.983381,506.539,439.5566,-260.5204,-70.43984,734.6798,508.767,-112.1536,39.78594
"2025-11-21 15:00:00",7,"NAN",13.82,618.7252,-77.06685,144.9143,-12.71498,488.0252,420.3293,-280.0641,-92.52662,715.5272,490.6729,-130.3893,20.28559,631.411,-61.58362,160.4473,4.705193,501.4923,434.7019,-266.5727,-77.58466,730.075,503.3926,-116.3939,34.58969
"2025-11-21 15:15:00",8,"NAN",13.82,620.9285,-72.96191,148.078,-10.35668,489.382,422.7245,-279.269,-90.7176,716.5594,490.6213,-127.781,19.92079,628.4737,-63.42989,157.3773,0.7011849,496.5515,430.8125,-271.9704,-81.78728,725.6527,498.0994,-118.9174,29.2561
"2025-11-21 15:30:00",9,"NAN",13.82,621.8933,-71.54264,149.584,-9.287966,490.7303,424.3997,-277.8761,-89.62527,719.0283,492.9733,-124.6704,22.21073,621.9583,-69.93762,151.7891,-5.292665,490.8518,425.6754,-277.4177,-87.8242,721.4424,493.556,-123.279,24.52584
"2025-11-21 15:45:00",10,"NAN",13.82,620.847,-75.09248,148.8347,-10.28783,489.2492,423.2381,-278.9265,-88.94722,718.4772,492.2151,-126.2319,21.70734,615.5554,-78.79826,144.6303,-12.9242,482.9544,417.7254,-286.4597,-94.80368,713.0505,484.8821,-133.7811,15.13729
"2025-11-21 16:00:00",11,"NAN",13.83,621.497,-73.45237,150.4532,-8.890403,490.1093,424.6443,-277.472,-86.25652,720.2993,493.9676,-123.0643,23.54303,610.073,-83.24918,140.3374,-17.53982,478.5356,414.0641,-290.1872,-97.55537,710.637,482.2254,-135.5094,12.72072
