"TOA5","Compass_MSM_W_401","CR1000X","28727","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","57162","ClimaVue50_15min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","SlrTF_MJ_Tot","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","MaxWS_ms_TMx","Invalid_Wind_Tot","AirT_C_Avg","AirT_C_Max","AirT_C_TMx","AirT_C_Min","AirT_C_TMn","VP_mbar_Avg","BP_mbar","BP_mbar_Max","BP_mbar_TMx","BP_mbar_Min","BP_mbar_TMn","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","Strikes_Tot","Dist_km_Min","Dist_km_TMn","PAR_Den_C_Avg","PAR_Tot_C_Tot","CVMeta"
"TS","RN","W/m^2","MJ/m^2","mm","meters/second","Deg","Deg","meters/second","meters/second","","Deg C","Deg C","Deg C","Deg C","Deg C","mbar","mbar","mbar","mbar","mbar","mbar","%","Deg C","degrees","degrees","count","kilometers","kilometers","micromols/s/m^2","mmol/m^2second",""
"","","Avg","Tot","Tot","WVc","WVc","WVc","Max","TMx","Tot","Avg","Max","TMx","Min","TMn","Avg","Smp","Max","TMx","Min","TMn","Smp","Avg","Avg","Avg","Tot","Min","TMn","Avg","Tot","Smp"
2022-11-09 00:00:00,5188,0,0,0,1.104,332.8,28.21,3.41,2022-11-08 23:04:00,0,8.24,9,2022-11-08 23:05:00,7.2,2022-11-08 23:59:00,7.113333,1035.6,1035.6,2022-11-08 23:51:00,1035.3,2022-11-08 23:04:00,70.2,7.228,-0.645,1.383,0,0,2022-11-08 23:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 01:00:00,5189,0,0,0,0.912,334,29.58,3.32,2022-11-09 00:45:00,0,7.572,8.1,2022-11-09 00:05:00,7.1,2022-11-09 00:01:00,6.868333,1036,1036,2022-11-09 00:59:00,1035.6,2022-11-09 00:07:00,67.1,6.437,-0.615,1.357,0,0,2022-11-09 00:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 02:00:00,5190,0,0,0,1.227,342.6,33.9,3.95,2022-11-09 01:41:00,0,7.397,7.7,2022-11-09 01:02:00,7,2022-11-09 01:06:00,6.796667,1036,1036.2,2022-11-09 01:41:00,1035.8,2022-11-09 01:03:00,66.5,6.34,-0.655,1.42,0,0,2022-11-09 01:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 03:00:00,5191,0,0,0,1.041,7.007,51.43,3.35,2022-11-09 02:16:00,0,7.233,7.6,2022-11-09 02:11:00,6.8,2022-11-09 02:58:00,6.501666,1036.1,1036.2,2022-11-09 02:58:00,1035.8,2022-11-09 02:11:00,65,6.295,-0.627,1.407,0,0,2022-11-09 02:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 04:00:00,5192,0,0,0,1.304,351.8,33.29,3.44,2022-11-09 03:42:00,0,7.152,7.5,2022-11-09 03:04:00,6.7,2022-11-09 03:39:00,6.42,1036.1,1036.2,2022-11-09 03:06:00,1035.9,2022-11-09 03:34:00,63.6,6.217,-0.627,1.357,0,0,2022-11-09 03:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 05:00:00,5193,0,0,0,1.377,346,24.39,4.34,2022-11-09 04:16:00,0,6.8,7.1,2022-11-09 04:03:00,6.5,2022-11-09 04:41:00,6.453333,1036.5,1036.5,2022-11-09 04:33:00,1036,2022-11-09 04:07:00,66,6.017,-0.633,1.387,0,0,2022-11-09 04:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 06:00:00,5194,0,0,0,1.27,328.2,26.25,3.32,2022-11-09 05:15:00,0,6.342,7,2022-11-09 05:01:00,5.7,2022-11-09 05:55:00,6.455,1036.6,1036.7,2022-11-09 05:56:00,1036.4,2022-11-09 05:02:00,67.3,5.612,-0.635,1.328,0,0,2022-11-09 05:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 07:00:00,5195,6.533,0.00196,0,1.031,332.7,34.98,3.25,2022-11-09 06:46:00,0,5.848,6.2,2022-11-09 06:01:00,5.4,2022-11-09 06:41:00,6.266667,1036.8,1036.8,2022-11-09 06:06:00,1036.6,2022-11-09 06:01:00,66.4,4.918,-0.628,1.362,0,0,2022-11-09 06:01:00,8.48,7.635,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 08:00:00,5196,98.6,0.02957,0,1.592,2.214,31.65,7.19,2022-11-09 07:51:00,0,6.763,7.5,2022-11-09 07:55:00,6.1,2022-11-09 07:05:00,6.695,1037.4,1037.4,2022-11-09 07:50:00,1036.8,2022-11-09 07:01:00,67.9,7.95,-0.597,1.35,0,0,2022-11-09 07:01:00,141.7,127.5,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 09:00:00,5197,245.8,0.07373499,0,2.178,29.12,27.67,5.54,2022-11-09 08:15:00,0,8.53,9.9,2022-11-09 08:58:00,7.5,2022-11-09 08:02:00,7.363333,1037.5,1037.6,2022-11-09 08:52:00,1037.3,2022-11-09 08:01:00,66.1,11.79,-0.542,1.507,0,0,2022-11-09 08:01:00,348.9,314,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 10:00:00,5198,368.4,0.11051,0,1.916,36.41,33.01,6.06,2022-11-09 09:14:00,0,10.72,12.4,2022-11-09 09:58:00,9.3,2022-11-09 09:04:00,8.48,1037.5,1037.8,2022-11-09 09:33:00,1037.5,2022-11-09 09:01:00,63.6,14.98,-0.517,1.438,0,0,2022-11-09 09:01:00,506.9,456.25,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 11:00:00,5199,451.2,0.135365,0,1.809,75.17,44.56,4.47,2022-11-09 11:00:00,0,12.58,13.5,2022-11-09 10:53:00,11.6,2022-11-09 10:01:00,9.455,1037.4,1037.6,2022-11-09 10:04:00,1037.4,2022-11-09 10:11:00,62,17.19,-0.527,1.425,0,0,2022-11-09 10:01:00,643,578.75,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 12:00:00,5200,528.7,0.158595,0,1.778,89.5,51.28,4.52,2022-11-09 11:44:00,0,13.67,14.8,2022-11-09 11:47:00,12.8,2022-11-09 11:11:00,10.005,1036.8,1037.5,2022-11-09 11:01:00,1036.8,2022-11-09 11:56:00,63.5,18.09,-0.558,1.51,0,0,2022-11-09 11:01:00,699.9,630,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 13:00:00,5201,413.9,0.124175,0,1.453,103.3,89.9,4.63,2022-11-09 12:08:00,0,14.19,15.6,2022-11-09 12:55:00,13.4,2022-11-09 12:08:00,10.17,1036.2,1037,2022-11-09 12:10:00,1036.2,2022-11-09 12:50:00,60,18.03,-0.57,1.512,0,0,2022-11-09 12:01:00,597.9,538,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 14:00:00,5202,436.8,0.13105,0,1.555,21.47,44.69,4.65,2022-11-09 13:07:00,0,15.04,16.1,2022-11-09 13:05:00,14.2,2022-11-09 13:13:00,10.55167,1035.5,1036.3,2022-11-09 13:08:00,1035.5,2022-11-09 13:56:00,64,18.78,-0.592,1.545,0,0,2022-11-09 13:01:00,570.1,513,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 15:00:00,5203,340.8,0.10225,0,2.277,353.6,29.6,5.33,2022-11-09 14:50:00,0,14.69,15.6,2022-11-09 14:02:00,13.7,2022-11-09 14:50:00,10.615,1034.9,1035.6,2022-11-09 14:01:00,1034.9,2022-11-09 14:53:00,65.8,17.89,-0.602,1.513,0,0,2022-11-09 14:01:00,426.1,383.5,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 16:00:00,5204,199.2,0.059765,0,2.785,349.3,12.84,6.17,2022-11-09 15:14:00,0,13.59,14,2022-11-09 15:49:00,13.2,2022-11-09 15:56:00,10.44167,1034.7,1035,2022-11-09 15:02:00,1034.6,2022-11-09 15:28:00,68.3,15.64,-0.573,1.395,0,0,2022-11-09 15:01:00,232.8,209.5,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 17:00:00,5205,51.77,0.01553,0,1.659,341.1,9.6,4.12,2022-11-09 16:06:00,0,12.73,13.4,2022-11-09 16:01:00,11.7,2022-11-09 17:00:00,10.46333,1034.7,1034.9,2022-11-09 16:35:00,1034.7,2022-11-09 16:01:00,75,13.66,-0.582,1.412,0,0,2022-11-09 16:01:00,53.26,47.925,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 18:00:00,5206,0.317,9.5E-05,0,1.019,352.6,14.14,2.96,2022-11-09 17:07:00,0,10.91,11.7,2022-11-09 17:01:00,9.5,2022-11-09 18:00:00,10.215,1034.6,1034.7,2022-11-09 17:01:00,1034.5,2022-11-09 17:20:00,84.9,10.86,-0.607,1.437,0,0,2022-11-09 17:01:00,0.614,0.55275,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 19:00:00,5207,0,0,0,0.654,56.46,36.68,1.57,2022-11-09 18:18:00,0,9.84,10.6,2022-11-09 18:18:00,9.2,2022-11-09 18:58:00,10.04,1034.4,1034.5,2022-11-09 18:01:00,1034.3,2022-11-09 18:19:00,85.8,9.34,-0.61,1.417,0,0,2022-11-09 18:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 20:00:00,5208,0,0,0,0.653,14.34,61.83,1.57,2022-11-09 19:21:00,0,9.42,10,2022-11-09 19:25:00,8.8,2022-11-09 19:06:00,9.898333,1034.1,1034.4,2022-11-09 19:01:00,1034.1,2022-11-09 19:52:00,85.6,8.71,-0.582,1.422,0,0,2022-11-09 19:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 21:00:00,5209,0,0,0,0.555,356.4,60.23,1.31,2022-11-09 20:14:00,0,8.39,9,2022-11-09 20:17:00,7.7,2022-11-09 20:59:00,9.705,1033.9,1034.1,2022-11-09 20:01:00,1033.8,2022-11-09 20:11:00,91.1,7.883,-0.587,1.378,0,0,2022-11-09 20:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 22:00:00,5210,0,0,0,0.405,359.7,56.95,1.53,2022-11-09 21:51:00,0,7.472,8.1,2022-11-09 21:51:00,7,2022-11-09 21:19:00,9.438334,1033.7,1033.9,2022-11-09 21:01:00,1033.6,2022-11-09 21:41:00,89.6,6.763,-0.653,1.382,0,0,2022-11-09 21:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-09 23:00:00,5211,0,0,0,0.555,28.21,61.38,1.72,2022-11-09 22:15:00,0,8.3,8.7,2022-11-09 22:22:00,7.6,2022-11-09 22:01:00,9.936666,1033,1033.7,2022-11-09 22:01:00,1033,2022-11-09 22:57:00,90.7,7.512,-0.6,1.383,0,0,2022-11-09 22:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
2022-11-10 00:00:00,5212,0,0,0,0.472,0.508,47.9,1.53,2022-11-09 23:09:00,0,8.45,9,2022-11-09 23:57:00,8,2022-11-09 23:32:00,10.15833,1032.4,1033,2022-11-09 23:01:00,1032.4,2022-11-09 23:56:00,91.2,7.903,-0.598,1.397,0,0,2022-11-09 23:01:00,0,0,013CAMPBELLCLIM50529VUE-500002168
