"TOA5","Compass_OWC_W_321","CR1000X","28729","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","57162","ClimaVue50_24hr"
"TIMESTAMP","RECORD","BattV_Min","Rain_mm_Tot","SlrFD_W_Avg","SlrTF_MJ_Tot","WS_ms_WVc(1)","WS_ms_WVc(2)","WS_ms_S_WVT","MaxWS_ms_Max","MaxWS_ms_TMx","AirT_C_Avg","AirT_C_Max","AirT_C_TMx","AirT_C_Min","AirT_C_TMn","VP_mbar_Avg","BP_mbar_Max","BP_mbar_TMx","BP_mbar_Min","BP_mbar_TMn","RH_Max","RH_Min","RHT_C_Max","RHT_C_Min","TiltNS_deg_Max","TiltNS_deg_TMx","TiltNS_deg_Min","TiltNS_deg_TMn","TiltWE_deg_Max","TiltWE_deg_TMx","TiltWE_deg_Min","PAR_Den_C_Avg","PAR_Tot_C_Tot","CVMeta"
"TS","RN","Volts","mm","W/m^2","MJ/m^2","meters/second","meters/second","","meters/second","meters/second","Deg C","Deg C","Deg C","Deg C","Deg C","mbar","mbar","mbar","mbar","mbar","%","%","Deg C","Deg C","degrees","degrees","degrees","degrees","degrees","degrees","degrees","micromols/s/m^2","mmol/m^2second",""
"","","Min","Tot","Avg","Tot","WVc","WVc","Tot","Max","TMx","Avg","Max","TMx","Min","TMn","Avg","Max","TMx","Min","TMn","Max","Min","Max","Min","Max","TMx","Min","TMn","Max","TMx","Min","Avg","Tot","Smp"
"2022-04-09 00:00:00",21,13.16,1.292,108,0.7771299,0.844,218.6,0,7.65,"2022-04-08 13:21:00",4.926,8.6,"2022-04-08 11:55:00",0.8,"2022-04-09 00:00:00",7.376303,984.2,"2022-04-08 00:02:00",982.1,"2022-04-08 05:20:00",99.4,62.9,10.9,0.7,0.6,"2022-04-08 11:26:00",-4.6,"2022-04-08 13:20:00",2.3,"2022-04-08 13:21:00",-0.6,133.7,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-10 00:00:00",22,13.15,0.017,74.27,0.5347099,1.571,293.7,0,7.57,"2022-04-09 15:45:00",3.579,5.4,"2022-04-09 17:48:00",0.6,"2022-04-09 00:12:00",6.149722,992.2,"2022-04-09 23:57:00",983.3,"2022-04-09 01:03:00",99.8,61.8,6.2,0.3,0.5,"2022-04-09 18:10:00",-1.8,"2022-04-09 15:52:00",2.1,"2022-04-09 15:53:00",-0.6,93.8,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-11 00:00:00",23,13.09,0,194.4,1.40002,1.148,276.6,0,7.41,"2022-04-10 09:41:00",4.042,8.3,"2022-04-10 17:13:00",-0.4,"2022-04-10 06:08:00",5.937916,997.5,"2022-04-10 10:42:00",992.2,"2022-04-10 00:01:00",87.1,56.4,11.4,-0.9,0.3,"2022-04-10 09:32:00",-1.5,"2022-04-10 09:42:00",1.4,"2022-04-10 10:05:00",-0.3,242.7,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-12 00:00:00",24,13.13,6.069,61.77,0.44471,0.846,211.1,0,6.59,"2022-04-11 04:21:00",11.46,18.9,"2022-04-11 12:28:00",2.4,"2022-04-11 00:01:00",10.63035,994.3,"2022-04-11 23:48:00",988.9,"2022-04-11 12:04:00",100,48.1,20.7,2.2,0.1,"2022-04-11 05:09:00",-1.3,"2022-04-11 03:16:00",1.5,"2022-04-11 18:36:00",-0.3,81.6,7047,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-13 00:00:00",25,13.13,1.275,196.3,1.41342,0.695,123.3,0,3.37,"2022-04-12 13:00:00",9.71,14.3,"2022-04-12 10:09:00",4.1,"2022-04-12 05:59:00",10.58035,999,"2022-04-12 08:48:00",991.4,"2022-04-12 23:59:00",100,63.2,19.2,3.9,0.3,"2022-04-12 12:17:00",-1.4,"2022-04-12 14:55:00",1.1,"2022-04-12 10:34:00",-0.4,250.4,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-14 00:00:00",26,13.12,3.026,87.4,0.6294,0.74,184.4,0,5.06,"2022-04-13 15:12:00",17.28,22.4,"2022-04-13 11:09:00",12.2,"2022-04-13 04:03:00",16.705,991.5,"2022-04-13 00:01:00",982.8,"2022-04-13 21:09:00",100,63.6,24.1,12.2,0.2,"2022-04-13 15:12:00",-1.5,"2022-04-13 11:53:00",1.2,"2022-04-13 15:12:00",-0.6,114.1,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-15 00:00:00",27,13.12,2.278,196.3,1.41315,2.101,284,0,10.07,"2022-04-14 17:13:00",11.25,16.6,"2022-04-14 00:01:00",5.2,"2022-04-14 23:16:00",8.836111,996.1,"2022-04-14 23:59:00",977.7,"2022-04-14 01:36:00",100,31.8,16.4,4.9,2,"2022-04-14 08:10:00",-3.2,"2022-04-14 15:28:00",2.8,"2022-04-14 13:36:00",-2.9,246.5,7999,"013CAMPBELLCLIM50529VUE-500002132"
"2022-04-16 00:00:00",28,13.14,0.102,167.4,1.205585,1.444,270.9,0,8.5,"2022-04-15 16:02:00",11.29,20.7,"2022-04-15 16:30:00",2.8,"2022-04-15 03:26:00",7.287291,996.2,"2022-04-15 00:03:00",990.1,"2022-04-15 17:03:00",93,23.2,21.6,2.6,2.2,"2022-04-15 16:02:00",-2.2,"2022-04-15 15:00:00",3.2,"2022-04-15 16:02:00",-1.1,207.8,7999,"013CAMPBELLCLIM50529VUE-500002132"
