"TOA5","COMPASS_GCW_TR_432","CR1000X","75736","CR1000X.8.4.0","CPU:COMPASS_v4-052425.CR1X","52317","Redox5"
"TIMESTAMP","RECORD","Statname","BattV","RedoxRa(1)","RedoxRa(2)","RedoxRa(3)","RedoxRa(4)","RedoxRa(5)","RedoxRa(6)","RedoxRa(7)","RedoxRa(8)","RedoxRa(9)","RedoxRa(10)","RedoxRa(11)","RedoxRa(12)","RedoxRb(1)","RedoxRb(2)","RedoxRb(3)","RedoxRb(4)","RedoxRb(5)","RedoxRb(6)","RedoxRb(7)","RedoxRb(8)","RedoxRb(9)","RedoxRb(10)","RedoxRb(11)","RedoxRb(12)"
"TS","RN","","Volts","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-11-21 13:35:00",6,"NAN",13.71,613.2153,-93.94557,124.7036,-22.91445,482.3539,407.1766,-285.0185,-99.01934,697.909,482.3516,-148.0094,8.132837,783.5206,86.56757,304.4606,158.4208,653.8896,581.1577,-105.3099,80.15442,869.4299,654.614,32.52825,187.3698
"2025-11-21 13:40:00",7,"NAN",13.51,614.1826,-91.47276,126.9718,-23.23453,482.716,408.188,-284.7945,-98.71397,698.8011,482.8887,-146.3503,8.861191,767.0056,70.43472,286.8338,138.7696,634.1882,561.8394,-127.1119,58.52181,848.335,631.6649,8.537224,162.1763
"2025-11-21 13:45:00",8,"NAN",13.5,614.1476,-89.41396,129.6617,-20.95389,483.2437,409.9568,-284.1665,-96.64037,701.6049,483.5392,-144.195,10.43632,710.1736,12.35951,231.2611,82.37212,579.2469,507.2906,-183.7369,4.058055,797.7963,579.6214,-43.95544,110.5778
"2025-11-21 13:50:00",9,"NAN",13.68,616.2822,-85.06339,133.4797,-18.04053,485.4237,412.7192,-282.2135,-94.11638,705.0469,486.0284,-140.9744,13.24692,693.1948,-1.714441,215.8743,66.36784,563.1925,492.5001,-199.924,-11.44038,784.7595,564.9102,-57.69749,96.64071
"2025-11-21 13:55:00",10,"NAN",13.69,617.0836,-82.38866,135.9369,-16.69617,486.3083,414.1818,-281.9761,-94.98303,706.5244,486.2265,-139.4914,13.76414,686.4765,-7.795995,209.8246,59.44883,555.8055,485.7054,-207.9184,-21.84187,777.6957,557.2298,-64.39939,89.02435
"2025-11-21 14:00:00",11,"NAN",13.69,618.0824,-80.34084,137.5817,-15.72297,486.9163,415.4631,-280.7547,-96.72744,708.8471,488.0424,-137.2355,16.07029,683.0625,-9.849988,207.0565,55.81692,552.2217,482.6764,-211.5592,-27.9215,775.7016,554.5963,-66.32226,86.90621
"2025-11-21 14:05:00",12,"NAN",13.68,618.5499,-78.03474,138.9154,-14.99861,487.2499,416.4723,-280.1986,-97.4366,710.2369,488.427,-135.4397,16.40691,680.1965,-11.514,204.8778,52.68843,548.5778,479.296,-215.8671,-34.5312,772.487,550.0652,-69.96812,81.691
"2025-11-21 14:10:00",13,"NAN",13.69,617.6819,-78.61913,139.2486,-15.02017,487.2954,416.7812,-280.2481,-98.20622,711.288,489.0604,-135.0499,17.41478,677.4449,-14.93179,203.2928,50.73166,546.76,477.8701,-217.9366,-34.93612,771.285,548.186,-71.78652,80.38879
"2025-11-21 14:15:00",14,"NAN",13.68,617.6265,-79.78799,139.3798,-15.55203,486.5701,416.4308,-281.3414,-98.81707,710.4933,488.3051,-133.8534,17.35268,674.0065,-18.73003,199.8042,46.72796,542.5741,474.1331,-222.1127,-38.56801,767.173,543.7748,-76.02618,75.85442
"2025-11-21 14:20:00",15,"NAN",13.82,619.3356,-76.45963,142.0549,-13.02325,488.6366,418.6605,-279.732,-94.78725,712.7037,489.4867,-133.5081,17.95319,660.6332,-31.89838,187.0872,33.60873,529.7301,461.5777,-236.0384,-49.44881,755.4669,531.2783,-88.93565,62.57695
