"TOA5","Compass_MSM_Buoy","CR1000X","29515","CR1000X.Std.06.02","CPU:COMPASS_v3.4.CR1X","43155","ExoTable"
"TIMESTAMP","RECORD","PB","Statname","Date","Time","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_uScm","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn","TSS_MgL","ORP_mv","TDS_mg_L","Vertical_Position_m","Turbidity_FNU","Turbidity_Raw"
"TS","RN","","","mmddyy","hhmmss","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","uS/cm","mv","pH","mv","Celsius","meters","volts","volts","ma","","","mg/L","mv","mg/L","m","FNU","na"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
2024-06-01 00:15:00,20531,407,Compass_MSM_407_BuoyBob,60124,836,15.235,58.21,15.7,15.67,93.03,91.94,7.48,0,9.13,15.628,1.14,7.66,-62.08,23.685,1.004,5.3,12,35.64,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,218.88,10158.47,1.004,8.79,0.23
2024-06-01 00:30:00,20532,407,Compass_MSM_407_BuoyBob,60124,2336,15.209,57.65,15.55,15.66,89.77,88.72,7.22,0,9.12,15.623,1.15,7.72,-65.73,23.611,1.006,5.3,11.98,45.6,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,209.05,10154.49,1.006,10.1,0.26
2024-06-01 00:45:00,20533,407,Compass_MSM_407_BuoyBob,60124,3836,15.178,57.51,15.51,15.66,91.78,90.7,7.4,0,9.12,15.616,1.15,7.73,-65.89,23.531,1.006,5.3,12.04,39.19,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,208.51,10150.88,1.006,8.58,0.22
2024-06-01 01:00:00,20534,407,Compass_MSM_407_BuoyBob,60124,5336,15.17,57.12,15.4,15.66,89.13,88.09,7.19,0,9.12,15.615,1.14,7.72,-65.74,23.508,1.008,5.3,12.12,37.45,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,201.67,10150.27,1.008,9.16,0.23
2024-06-01 01:15:00,20535,407,Compass_MSM_407_BuoyBob,60124,10836,15.135,57.04,15.38,15.65,86.51,85.49,6.99,0,9.11,15.604,1.15,7.73,-65.82,23.428,1.01,5.3,11.96,37.18,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,206.22,10142.41,1.01,9.05,0.23
2024-06-01 01:30:00,20536,407,Compass_MSM_407_BuoyBob,60124,12336,15.144,58.98,15.91,15.71,90.83,89.76,7.35,0,9.15,15.657,1.15,7.7,-64.38,23.283,1.013,5.3,11.96,36.63,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,211.83,10177.1,1.013,8.83,0.23
2024-06-01 01:45:00,20537,407,Compass_MSM_407_BuoyBob,60124,13836,15.128,59,15.91,15.7,91.76,90.68,7.43,0,9.15,15.651,1.15,7.71,-64.74,23.249,1.016,5.3,11.96,36.64,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,218.4,10173.91,1.017,9.08,0.23
2024-06-01 02:00:00,20538,407,Compass_MSM_407_BuoyBob,60124,15336,15.144,59.98,16.18,15.73,85.3,84.3,6.91,0,9.16,15.679,1.14,7.69,-63.81,23.216,1.016,5.3,11.95,39.25,# sn  21H101649  #,# ssn  21H105240 22M100515 21F100900 21F102073 21F100692 21J104317 21E103,0,210.71,10191.67,1.016,8.7,0.22
