"TOA5","COMPASS_GCW_W_431","CR1000X","42102","CR1000X.Std.06.00","CPU:COMPASS_v3.1GCW.CR1X","53752","ClimaVue50_15min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","SlrTF_MJ_Tot","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","MaxWS_ms_TMx","Invalid_Wind_Tot","AirT_C_Avg","AirT_C_Max","AirT_C_TMx","AirT_C_Min","AirT_C_TMn","VP_mbar_Avg","BP_mbar","BP_mbar_Max","BP_mbar_TMx","BP_mbar_Min","BP_mbar_TMn","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","Strikes_Tot","Dist_km_Min","Dist_km_TMn","PAR_Den_C_Avg","PAR_Tot_C_Tot","CVMeta"
"TS","RN","W/m^2","MJ/m^2","mm","meters/second","Deg","Deg","meters/second","meters/second","","Deg C","Deg C","Deg C","Deg C","Deg C","mbar","mbar","mbar","mbar","mbar","mbar","%","Deg C","degrees","degrees","count","kilometers","kilometers","micromols/s/m^2","mmol/m^2second",""
"","","Avg","Tot","Tot","WVc","WVc","WVc","Max","TMx","Tot","Avg","Max","TMx","Min","TMn","Avg","Smp","Max","TMx","Min","TMn","Smp","Avg","Avg","Avg","Tot","Min","TMn","Avg","Tot","Smp"
"2022-10-19 17:30:00",1854,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 17:30:00",0,"NAN","NAN","2022-10-19 17:30:00","NAN","2022-10-19 17:30:00","NAN","NAN","NAN","2022-10-19 17:30:00","NAN","2022-10-19 17:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 17:30:00",0,0,"NAN"
"2022-10-19 17:45:00",1855,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 17:45:00",0,"NAN","NAN","2022-10-19 17:45:00","NAN","2022-10-19 17:45:00","NAN","NAN","NAN","2022-10-19 17:45:00","NAN","2022-10-19 17:45:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 17:45:00",0,0,"NAN"
"2022-10-19 18:00:00",1856,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 18:00:00",0,"NAN","NAN","2022-10-19 18:00:00","NAN","2022-10-19 18:00:00","NAN","NAN","NAN","2022-10-19 18:00:00","NAN","2022-10-19 18:00:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 18:00:00",0,0,"NAN"
"2022-10-19 18:15:00",1857,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 18:15:00",0,"NAN","NAN","2022-10-19 18:15:00","NAN","2022-10-19 18:15:00","NAN","NAN","NAN","2022-10-19 18:15:00","NAN","2022-10-19 18:15:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 18:15:00",0,0,"NAN"
"2022-10-19 18:30:00",1858,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 18:30:00",0,"NAN","NAN","2022-10-19 18:30:00","NAN","2022-10-19 18:30:00","NAN","NAN","NAN","2022-10-19 18:30:00","NAN","2022-10-19 18:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 18:30:00",0,0,"NAN"
"2022-10-19 18:45:00",1859,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 18:45:00",0,"NAN","NAN","2022-10-19 18:45:00","NAN","2022-10-19 18:45:00","NAN","NAN","NAN","2022-10-19 18:45:00","NAN","2022-10-19 18:45:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 18:45:00",0,0,"NAN"
"2022-10-19 19:00:00",1860,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 19:00:00",0,"NAN","NAN","2022-10-19 19:00:00","NAN","2022-10-19 19:00:00","NAN","NAN","NAN","2022-10-19 19:00:00","NAN","2022-10-19 19:00:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 19:00:00",0,0,"NAN"
"2022-10-19 19:15:00",1861,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 19:15:00",0,"NAN","NAN","2022-10-19 19:15:00","NAN","2022-10-19 19:15:00","NAN","NAN","NAN","2022-10-19 19:15:00","NAN","2022-10-19 19:15:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 19:15:00",0,0,"NAN"
"2022-10-19 19:30:00",1862,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 19:30:00",0,"NAN","NAN","2022-10-19 19:30:00","NAN","2022-10-19 19:30:00","NAN","NAN","NAN","2022-10-19 19:30:00","NAN","2022-10-19 19:30:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 19:30:00",0,0,"NAN"
"2022-10-19 19:45:00",1863,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 19:45:00",0,"NAN","NAN","2022-10-19 19:45:00","NAN","2022-10-19 19:45:00","NAN","NAN","NAN","2022-10-19 19:45:00","NAN","2022-10-19 19:45:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 19:45:00",0,0,"NAN"
"2022-10-19 20:00:00",1864,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 20:00:00",0,"NAN","NAN","2022-10-19 20:00:00","NAN","2022-10-19 20:00:00","NAN","NAN","NAN","2022-10-19 20:00:00","NAN","2022-10-19 20:00:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 20:00:00",0,0,"NAN"
"2022-10-19 20:15:00",1865,"NAN","NAN","NAN","NAN",0,0,"NAN","2022-10-19 20:15:00",0,"NAN","NAN","2022-10-19 20:15:00","NAN","2022-10-19 20:15:00","NAN","NAN","NAN","2022-10-19 20:15:00","NAN","2022-10-19 20:15:00","NAN","NAN","NAN","NAN","NAN","NAN","2022-10-19 20:15:00",0,0,"NAN"
