"TOA5","Compass_GWI_W_411","CR1000X","28726","CR1000X.Std.05.01","CPU:COMPASS_v3.CR1X","57162","ClimaVue50_15min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","SlrTF_MJ_Tot","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","MaxWS_ms_TMx","Invalid_Wind_Tot","AirT_C_Avg","AirT_C_Max","AirT_C_TMx","AirT_C_Min","AirT_C_TMn","VP_mbar_Avg","BP_mbar","BP_mbar_Max","BP_mbar_TMx","BP_mbar_Min","BP_mbar_TMn","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","Strikes_Tot","Dist_km_Min","Dist_km_TMn","PAR_Den_C_Avg","PAR_Tot_C_Tot","CVMeta"
"TS","RN","W/m^2","MJ/m^2","mm","meters/second","Deg","Deg","meters/second","meters/second","","Deg C","Deg C","Deg C","Deg C","Deg C","mbar","mbar","mbar","mbar","mbar","mbar","%","Deg C","degrees","degrees","count","kilometers","kilometers","micromols/s/m^2","mmol/m^2second",""
"","","Avg","Tot","Tot","WVc","WVc","WVc","Max","TMx","Tot","Avg","Max","TMx","Min","TMn","Avg","Smp","Max","TMx","Min","TMn","Smp","Avg","Avg","Avg","Tot","Min","TMn","Avg","Tot","Smp"
2023-04-08 00:00:00,8795,0,0,0,1.411,327.5,15.2,3.35,2023-04-07 23:44:00,0,8.32,8.4,2023-04-07 23:01:00,8.2,2023-04-07 23:43:00,10.02833,1030.5,1031,2023-04-07 23:23:00,1030.3,2023-04-07 23:52:00,91.8,7.955,-2.805,0.697,0,0,2023-04-07 23:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 01:00:00,8796,0,0,0.017,1.328,312,20.97,2.76,2023-04-08 00:32:00,0,8.46,8.6,2023-04-08 00:44:00,8.3,2023-04-08 00:01:00,10.3,1031,1031.1,2023-04-08 00:09:00,1030.5,2023-04-08 00:01:00,95.1,8.09,-2.815,0.7,0,0,2023-04-08 00:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 02:00:00,8797,0,0,0,1.176,310.1,38.73,3.54,2023-04-08 01:59:00,0,8.37,8.6,2023-04-08 01:09:00,8.1,2023-04-08 01:30:00,10.28333,1030.1,1031,2023-04-08 01:01:00,1030,2023-04-08 01:58:00,89.2,8.09,-2.802,0.735,0,0,2023-04-08 01:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 03:00:00,8798,0,0,0,1.494,328.7,15.66,3.44,2023-04-08 02:25:00,0,8.48,8.7,2023-04-08 02:44:00,8.3,2023-04-08 02:29:00,9.844999,1030,1030.2,2023-04-08 02:35:00,1029.8,2023-04-08 02:52:00,88.5,8.13,-2.817,0.708,0,0,2023-04-08 02:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 04:00:00,8799,0,0,0.017,1.664,326.8,13.92,4.32,2023-04-08 03:32:00,0,8.44,8.6,2023-04-08 03:07:00,8.3,2023-04-08 03:47:00,9.588332,1030.3,1030.3,2023-04-08 03:27:00,1030,2023-04-08 03:01:00,88,8.1,-2.843,0.722,0,0,2023-04-08 03:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 05:00:00,8800,0,0,0,1.937,347.9,10.66,4.05,2023-04-08 04:42:00,0,8.25,8.4,2023-04-08 04:44:00,8.1,2023-04-08 04:18:00,9.833332,1030.3,1030.4,2023-04-08 04:56:00,1030,2023-04-08 04:26:00,91.9,8.05,-2.84,0.648,0,0,2023-04-08 04:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 06:00:00,8801,0.817,0.000245,0,1.73,2.598,19.93,3.93,2023-04-08 05:57:00,0,8.42,8.9,2023-04-08 05:59:00,8.2,2023-04-08 05:02:00,10.20667,1030.6,1030.6,2023-04-08 05:57:00,1030.2,2023-04-08 05:30:00,92.5,8.14,-2.848,0.685,0,0,2023-04-08 05:01:00,1.671,1.5035,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 07:00:00,8802,27.42,0.008225,0.017,1.95,14.08,11.54,5.39,2023-04-08 06:40:00,0,9.48,10,2023-04-08 06:59:00,8.9,2023-04-08 06:01:00,10.675,1030.9,1030.9,2023-04-08 06:59:00,1030.6,2023-04-08 06:01:00,90,9.11,-2.83,0.755,0,0,2023-04-08 06:01:00,39.22,35.3,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 08:00:00,8803,94.1,0.028215,0,2.444,19.95,22.8,6.6,2023-04-08 07:27:00,0,10.39,10.9,2023-04-08 07:19:00,10,2023-04-08 07:01:00,10.65833,1031.8,1031.8,2023-04-08 07:48:00,1030.9,2023-04-08 07:01:00,84.1,10.48,-2.88,0.832,0,0,2023-04-08 07:01:00,132.8,119.55,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 09:00:00,8804,160.8,0.04823,0.017,2.285,14.66,25.33,8.22,2023-04-08 08:33:00,0,10.09,10.2,2023-04-08 08:01:00,9.8,2023-04-08 08:48:00,10.00333,1032.8,1032.8,2023-04-08 08:58:00,1031.8,2023-04-08 08:01:00,76.8,10.7,-2.788,0.813,0,0,2023-04-08 08:01:00,225.5,203,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 10:00:00,8805,250.7,0.07519999,0,2.651,27.28,35.46,9.43,2023-04-08 09:32:00,0,10.01,10.5,2023-04-08 09:22:00,9.7,2023-04-08 09:41:00,9.289999,1032.9,1033.1,2023-04-08 09:40:00,1032.7,2023-04-08 09:25:00,74.4,11.25,-2.852,0.727,0,0,2023-04-08 09:01:00,347.1,312.25,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 11:00:00,8806,265.6,0.079675,0,3.935,26.62,13.03,10.57,2023-04-08 10:31:00,0,9.62,10,2023-04-08 10:53:00,9.3,2023-04-08 10:23:00,8.173333,1032.8,1033.1,2023-04-08 10:05:00,1032.5,2023-04-08 10:54:00,67.3,10.66,-2.783,0.83,0,0,2023-04-08 10:01:00,373.7,336.25,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 12:00:00,8807,297,0.0891,0.017,3.669,28.21,12.45,8.95,2023-04-08 11:18:00,0,9.8,10.3,2023-04-08 11:06:00,9.5,2023-04-08 11:11:00,8.145,1033,1033.1,2023-04-08 11:48:00,1032.6,2023-04-08 11:09:00,66.9,11.07,-2.803,0.83,0,0,2023-04-08 11:01:00,415.1,373.5,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 13:00:00,8808,190.5,0.057135,0,3.269,29.48,13.53,8.35,2023-04-08 12:34:00,0,9.45,9.8,2023-04-08 12:09:00,9.2,2023-04-08 12:50:00,7.851666,1032,1033,2023-04-08 12:06:00,1032,2023-04-08 12:54:00,65.6,10.43,-2.903,0.75,0,0,2023-04-08 12:01:00,273.1,245.75,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 14:00:00,8809,141.4,0.042405,0,2.946,27.08,12.78,10.09,2023-04-08 13:26:00,0,9.43,9.7,2023-04-08 13:08:00,9.1,2023-04-08 13:17:00,7.88,1031.5,1032,2023-04-08 13:01:00,1031.4,2023-04-08 13:41:00,67.5,9.97,-2.8,0.778,0,0,2023-04-08 13:01:00,206,185.375,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 15:00:00,8810,114.6,0.03437,0.017,1.628,19.34,80.9,5.43,2023-04-08 14:05:00,0,9.28,9.7,2023-04-08 14:08:00,9,2023-04-08 14:48:00,8.508333,1031,1031.7,2023-04-08 14:02:00,1031,2023-04-08 14:46:00,76,9.88,-2.775,0.802,0,0,2023-04-08 14:01:00,168.3,151.475,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 16:00:00,8811,132.8,0.039835,0,1.429,67.69,98.7,4.55,2023-04-08 15:24:00,0,8.93,9.1,2023-04-08 15:02:00,8.7,2023-04-08 15:47:00,8.718333,1031.4,1031.6,2023-04-08 15:37:00,1031,2023-04-08 15:02:00,76,9.68,-2.802,0.797,0,0,2023-04-08 15:01:00,187.5,168.75,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 17:00:00,8812,86.1,0.025815,0,1.505,206.1,93.1,4.54,2023-04-08 16:48:00,0,8.6,8.8,2023-04-08 16:02:00,8.3,2023-04-08 16:57:00,8.458333,1030.8,1031.4,2023-04-08 16:01:00,1030.8,2023-04-08 16:58:00,75.4,9.19,-2.775,0.775,0,0,2023-04-08 16:01:00,118.9,107.025,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 18:00:00,8813,36.13,0.01084,0.017,1.68,328.4,76.08,5.29,2023-04-08 17:24:00,0,8.17,8.3,2023-04-08 17:01:00,8,2023-04-08 17:53:00,7.95,1030.8,1031,2023-04-08 17:23:00,1030.7,2023-04-08 17:03:00,71.6,8.33,-2.818,0.612,0,0,2023-04-08 17:01:00,49.37,44.425,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 19:00:00,8814,2.4,0.00072,0,1.735,357.6,69.79,6.19,2023-04-08 18:31:00,0,7.873,8,2023-04-08 18:01:00,7.7,2023-04-08 18:48:00,7.743333,1030.4,1031.1,2023-04-08 18:04:00,1030.4,2023-04-08 18:43:00,72.9,7.757,-2.852,0.728,0,0,2023-04-08 18:01:00,4.034,3.63,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 20:00:00,8815,0,0,0,1.632,19.39,58.96,5.14,2023-04-08 19:16:00,0,7.765,7.9,2023-04-08 19:38:00,7.7,2023-04-08 19:03:00,7.723333,1030.5,1030.8,2023-04-08 19:28:00,1030.4,2023-04-08 19:01:00,73.3,7.512,-2.818,0.75,0,0,2023-04-08 19:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 21:00:00,8816,0,0,0,2.25,23.95,34.94,6.78,2023-04-08 20:44:00,0,7.905,8.1,2023-04-08 20:48:00,7.8,2023-04-08 20:01:00,7.815,1030.7,1030.8,2023-04-08 20:24:00,1030.5,2023-04-08 20:01:00,72.5,7.603,-2.865,0.767,0,0,2023-04-08 20:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 22:00:00,8817,0,0,0,3.305,26.74,13.25,10.61,2023-04-08 21:48:00,0,8.1,8.3,2023-04-08 22:00:00,8,2023-04-08 21:16:00,7.721666,1030.1,1030.8,2023-04-08 21:01:00,1030.1,2023-04-08 21:49:00,66.8,7.87,-2.763,0.782,0,0,2023-04-08 21:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-08 23:00:00,8818,0,0,0,3.22,26.51,13.31,7.86,2023-04-08 22:39:00,0,8.41,8.7,2023-04-08 23:00:00,8.2,2023-04-08 22:01:00,7.148333,1030.1,1030.3,2023-04-08 22:06:00,1030,2023-04-08 22:46:00,60.4,8.11,-2.867,0.72,0,0,2023-04-08 22:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
2023-04-09 00:00:00,8819,0,0,0,2.917,28.56,11.52,8.03,2023-04-08 23:04:00,0,8.59,8.7,2023-04-08 23:01:00,8.5,2023-04-08 23:15:00,7.521667,1029.9,1030.2,2023-04-08 23:23:00,1029.9,2023-04-08 23:04:00,71.9,8.33,-2.855,0.752,0,0,2023-04-08 23:01:00,0,0,013CAMPBELLCLIM50529VUE-500002163
