"TOA5","Compass_MSM_Buoy","CR1000X","29515","CR1000X.Std.06.02","CPU:COMPASS_v3.4.CR1X","43155","ExoTable"
"TIMESTAMP","RECORD","PB","Statname","Date","Time","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_uScm","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn","TSS_MgL","ORP_mv","TDS_mg_L","Vertical_Position_m","Turbidity_FNU","Turbidity_Raw"
"TS","RN","","","mmddyy","hhmmss","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","uS/cm","mv","pH","mv","Celsius","meters","volts","volts","ma","","","mg/L","mv","mg/L","m","FNU","na"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
2024-09-13 11:30:00,30560,407,Compass_MSM_407_BuoyBob,91324,112307,21.371,17.34,8.59,21.37,93.54,93.29,7.19,0,12.81,21.372,1.21,7.57,-55.64,24.997,0.892,0,12.47,32.51,# sn  21H101648  #,# ssn  21H105242 24B103618 21F102075 21F100693 22M100503 23A106685 21E103,0,236.74,13892.56,0.892,9.32,0.23
2024-09-13 11:45:00,30561,407,Compass_MSM_407_BuoyBob,91324,113807,21.427,16.11,7.94,21.41,86.27,86.04,6.62,0,12.84,21.413,1.2,7.56,-54.9,25.035,0.891,0,12.49,34.83,# sn  21H101648  #,# ssn  21H105242 24B103618 21F102075 21F100693 22M100503 23A106685 21E103,0,228.43,13917.43,0.891,7.53,0.19
2024-09-13 12:00:00,30562,407,Compass_MSM_407_BuoyBob,91324,115307,21.425,16.14,7.95,21.4,87.35,87.12,6.7,0,12.83,21.4,1.21,7.54,-53.62,25.06,0.889,0,12.48,32.22,# sn  21H101648  #,# ssn  21H105242 24B103618 21F102075 21F100693 22M100503 23A106685 21E103,0,224.77,13910.08,0.889,7.53,0.19
2024-09-13 12:15:00,30563,407,Compass_MSM_407_BuoyBob,91324,120807,21.405,16.58,8.19,21.34,89.6,89.36,6.87,0,12.79,21.35,1.2,7.6,-57.31,25.137,0.881,0,12.47,34.86,# sn  21H101648  #,# ssn  21H105242 24B103618 21F102075 21F100693 22M100503 23A106685 21E103,0,219.03,13877.63,0.882,7.4,0.18
2024-09-13 12:30:00,30564,407,Compass_MSM_407_BuoyBob,91324,122307,21.55,10.54,4.99,21.43,92.75,92.51,7.09,0,12.85,21.438,1.21,7.58,-55.74,25.274,0.877,0,12.48,117.8,# sn  21H101648  #,# ssn  21H105242 24B103618 21F102075 21F100693 22M100503 23A106685 21E103,0,216.38,13935.7,0.877,7.24,0.18
2024-09-13 12:45:00,30565,407,Compass_MSM_407_BuoyBob,91324,123807,21.595,15.91,7.83,21.43,93.95,93.7,7.17,0,12.85,21.445,1.21,7.55,-54.37,25.364,0.87,0,12.59,35.15,# sn  21H101648  #,# ssn  21H105242 24B103618 21F102075 21F100693 22M100503 23A106685 21E103,0,221.86,13939.34,0.87,7.3,0.18
2024-09-13 13:00:00,30566,407,Compass_MSM_407_BuoyBob,91324,125307,21.638,11.56,5.53,21.43,95.57,95.32,7.28,0,12.86,21.454,1.21,7.58,-56.25,25.449,0.866,0,12.47,32.87,# sn  21H101648  #,# ssn  21H105242 24B103618 21F102075 21F100693 22M100503 23A106685 21E103,0,225.1,13944.73,0.867,8.61,0.21
2024-09-13 13:15:00,30567,407,Compass_MSM_407_BuoyBob,91324,130807,21.68,11.16,5.32,21.46,91.09,90.85,6.94,0,12.88,21.482,1.21,7.58,-56.32,25.482,0.86,0,12.48,35.05,# sn  21H101648  #,# ssn  21H105242 24B103618 21F102075 21F100693 22M100503 23A106685 21E103,0,226.41,13964.98,0.861,7.41,0.18
