Logger,Table,loggernet_variable,Site,Plot,Instrument,Instrument_ID,Sensor_ID,Location,valid_through,research_name,note
DLG-F1_304,CheckTable,Format,DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,RECORD,DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,BattV,DLG,,Datalogger,,,,,battery-voltage,
DLG-F1_304,CheckTable,SolarV,DLG,,Datalogger,,,,,solar-voltage,
DLG-F1_304,CheckTable,Batt_CHECK,DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Solar_CHECK,DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(1),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(2),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(3),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(4),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(5),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(6),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(7),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(8),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(9),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Flag(10),DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,Statname,DLG,,Datalogger,,,,,,
DLG-F1_304,CheckTable,PB,DLG,,Datalogger,,,,,,
,,,,,,,,,,,
DLG-F1_304,Redox15,Format,DLG,,Redox,,,,,,
DLG-F1_304,Redox15,RECORD,DLG,,Redox,,,,,,
DLG-F1_304,Redox15,Statname,DLG,,Redox,,,,,,
DLG-F1_304,Redox15,BattV,DLG,,Redox,,,,,,
DLG-F1_304,Redox15,RedoxRa(1),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(2),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(3),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(4),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(5),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(6),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(7),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(8),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(9),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(10),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(11),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(12),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(13),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(14),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(15),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(16),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(17),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(18),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(19),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(20),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(21),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(22),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(23),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRa(24),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(1),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(2),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(3),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(4),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(5),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(6),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(7),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(8),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(9),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(10),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(11),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(12),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(13),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(14),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(15),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(16),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(17),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(18),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(19),DLG,,Redox,,,,,redox-Xcm,
DLG-F1_304,Redox15,RedoxRb(20),DLG,,Redox,,,,,redox-Xcm,
